,Item,Data_do_lancamento,Entradas_Qtd,Entradas_Valor,Saidas_Qtd,Saidas_Valor,Saldo_Inicial_Qtd,Saldo_Inicial_Valor,Saldo_Final_Qtd,Saldo_Final_Valor
144,81.30.019-4,09/08/2012,"150,0","2102,63","214,0","2999,77","1414,0","19820,670000000002","1350,0","18923,530000000002"
145,82.10.355-4,09/08/2012,"0,0","0,0","439,28819999999996","5126,25","2336,6937","27500,2","1897,4054999999998","22373,95"
146,82.70.372-1,09/08/2012,"748,0","6008,03","1724,6702","13852,73","30011,2459","241385,00999999995","29034,5757","233540,30999999994"
147,82.53.405-9,09/08/2012,"356,16","1625,37","3129,0822000000003","14279,85","17284,545299999998","78460,01000000001","14511,623099999997","65805,53"
148,82.53.475-0,09/08/2012,"133,245","332,06","1724,8960000000002","4298,640000000001","25422,2296","62865,09999999999","23830,578599999997","58898,51999999999"
149,82.60.353-0,09/08/2012,"0,0","0,0","256,0","1662,8200000000004","4705,0","30451,319999999992","4449,0","28788,499999999993"
150,82.63.660-9,09/08/2012,"2935,1780000000003","30511,68","1059,4670999999998","11050,0","3650,561600000001","38284,52","5526,272500000001","57746,2"
151,82.81.160-5,09/08/2012,"0,0","0,0","385,3697000000001","804,3099999999998","8310,1092","17348,719999999998","7924,739500000001","16544,409999999996"
152,61.21.107-1,09/08/2012,"0,0","0,0","2,0","381,07","459,0","88047,42999999998","457,0","87666,35999999997"
153,62.51.311-0,09/08/2012,"152,0","14948,34","35,0","3520,58","1248,0","127495,53","1365,0","138923,29"
154,66.31.174-0,09/08/2012,"0,0","0,0","18,0","1705,1200000000001","402,0","38715,420000000006","384,0","37010,3"
155,69.51.202-0,09/08/2012,"0,0","0,0","9,0","2580,3999999999996","289,0","83339,69","280,0","80759,29000000001"
156,71.15.272-3,09/08/2012,"0,0","0,0","13,0","3112,25","70,0","17385,619999999995","57,0","14273,369999999995"
157,76.26.200-4,09/08/2012,"48,0","13690,66","23,0","6605,010000000001","167,0","48577,72000000001","192,0","55663,37"
158,77.33.242-1,09/08/2012,"14,0","10823,16","6,0","4659,29","192,0","149337,75999999998","200,0","155501,62999999998"
159,10.01.206-6,09/08/2012,"0,0","0,0","1406,9171999999999","2773,23","4713,4908000000005","9055,279999999999","3306,5736000000006","6282,049999999999"
160,47.11.014-9,09/08/2012,"0,0","0,0","404,0","287,90999999999997","2204,0","15179,279999999999","1800,0","14891,369999999999"
161,JVB-301-01,09/08/2012,"224,0","1357,31","488,0","2994,7400000000002","1709,0","10799,78","1445,0","9162,35"
162,41.01.053-3,09/08/2012,"0,0","0,0","36,0","4,3","25882,0","3097,6800000000003","25846,0","3093,38"
163,41.02.051-2,09/08/2012,"36080,0","2592,29","33768,0","2430,25","97553,0","7267,070000000001","99865,0","7429,110000000001"
164,41.26.232-0,09/08/2012,"3,0","57,99","11,0","212,54","266,0","5245,170000000001","258,0","5090,620000000001"
165,41.67.008-8,09/08/2012,"3965,0","13254,070000000002","1488,0","4969,3099999999995","7189,0","23955,550000000003","9666,0","32240,310000000005"
166,81.30.019-4,10/08/2012,"100,0","1401,75","332,0","4653,82","1350,0","18923,530000000002","1118,0","15671,460000000003"
167,82.10.355-4,10/08/2012,"576,0","6721,61","962,0723","11226,89","1897,4054999999998","22373,95","1511,3331999999998","17868,670000000002"
168,82.70.372-1,10/08/2012,"1632,3832","13111,5","2612,3587","20982,79","29034,5757","233540,30999999994","28054,6002","225669,01999999993"
169,82.53.475-0,10/08/2012,"49,35","122,99","49,35","122,99","23830,578599999997","58898,51999999999","23830,578599999997","58898,51999999999"
170,82.60.353-0,10/08/2012,"0,0","0,0","268,0","1740,7599999999998","4449,0","28788,499999999993","4181,0","27047,739999999994"
171,82.63.660-9,10/08/2012,"2578,748","26895,769999999997","2967,4638","30949,989999999998","5526,272500000001","57746,2","5137,556700000001","53691,98"
172,82.81.160-5,10/08/2012,"1171,5","2444,98","1452,6673","3031,79","7924,739500000001","16544,409999999996","7643,5722","15957,599999999995"
173,61.21.107-1,10/08/2012,"0,0","0,0","18,0","3429,6800000000003","457,0","87666,35999999997","439,0","84236,67999999996"
174,62.51.311-0,10/08/2012,"439,0","43173,18","269,0","26564,569999999992","1365,0","138923,29","1535,0","155531,90000000002"
175,63.41.311-9,10/08/2012,"0,0","0,0","17,0","1314,7800000000002","902,0","70589,28000000001","885,0","69274,50000000001"
176,66.31.174-0,10/08/2012,"0,0","0,0","11,0","1042,03","384,0","37010,3","373,0","35968,270000000004"
177,69.51.202-0,10/08/2012,"0,0","0,0","23,0","6594,41","280,0","80759,29000000001","257,0","74164,88"
178,70.25.162-0,10/08/2012,"36,0","7561,77","16,0","3395,0","274,0","59198,20999999999","294,0","63364,979999999996"
179,71.15.272-3,10/08/2012,"0,0","0,0","2,0","478,81","57,0","14273,369999999995","55,0","13794,559999999996"
180,76.26.200-4,10/08/2012,"47,0","13391,61","4,0","1148,71","192,0","55663,37","235,0","67906,27"
181,77.33.242-1,10/08/2012,"18,0","13844,89","1,0","776,55","200,0","155501,62999999998","217,0","168569,96999999997"
182,10.01.206-6,10/08/2012,"0,0","0,0","1355,5324","2671,9600000000005","3306,5736000000006","6282,049999999999","1951,0412000000006","3610,089999999999"
183,47.11.014-9,10/08/2012,"0,0","0,0","312,0","222,38000000000005","1800,0","14891,369999999999","1488,0","14668,99"
184,JVB-301-01,10/08/2012,"572,0","3483,01","512,0","3142,0299999999997","1445,0","9162,35","1505,0","9503,330000000002"
185,41.01.053-3,10/08/2012,"4700,0","562,55","4748,0","568,29","25846,0","3093,38","25798,0","3087,6400000000003"
186,41.02.051-2,10/08/2012,"6000,0","431,82","9051,0","651,4","99865,0","7429,110000000001","96814,0","7209,530000000001"
187,41.26.232-0,10/08/2012,"0,0","0,0","55,0","1062,68","258,0","5090,620000000001","203,0","4027,9400000000005"
188,41.67.008-8,10/08/2012,"0,0","0,0","1465,0","4892,49","9666,0","32240,310000000005","8201,0","27347,820000000007"
189,82.81.160-5,12/08/2012,"0,0","0,0","1136,0055999999995","2370,7600000000025","7643,5722","15957,599999999995","6507,5666","13586,839999999993"
190,41.26.232-0,12/08/2012,"72,0","1391,82","0,0","0,0","203,0","4027,9400000000005","275,0","5419,76"
191,81.30.019-4,13/08/2012,"300,0","4205,25","307,0","4303,37","1118,0","15671,460000000003","1111,0","15573,340000000004"
192,82.10.355-4,13/08/2012,"576,0","6721,61","907,8398","10594,01","1511,3331999999998","17868,670000000002","1179,4934","13996,270000000002"
193,82.70.372-1,13/08/2012,"0,0","0,0","906,5272999999999","7281,309999999999","28054,6002","225669,01999999993","27148,0729","218387,70999999993"
194,82.53.405-9,13/08/2012,"8782,589","40080,13","8681,4","39618,35","14511,623099999997","65805,53","14612,812099999997","66267,31"
195,82.53.475-0,13/08/2012,"589,0570999999999","1468,0","1820,0478","4535,73","23830,578599999997","58898,51999999999","22599,587899999995","55830,78999999999"
196,82.60.353-0,13/08/2012,"500,0","3247,67","684,0","4442,85","4181,0","27047,739999999994","3997,0","25852,559999999998"
197,82.63.660-9,13/08/2012,"1408,52","14690,550000000003","1655,7401","17269,000000000004","5137,556700000001","53691,98","4890,336600000001","51113,53"
